MEETPUNT_IDENTIFICATIE,LOCATIE_CODE,GROOTHEID_OMSCHRIJVING,WAARNEMINGDATUM,REFERENTIE,NUMERIEKEWAARDE
Driel boven,DRIELBVN,Temperatuur,02-01-2019,17:30:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,17:40:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,17:50:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,18:00:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,18:10:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,18:20:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,18:30:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,18:40:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,18:50:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,19:00:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,19:10:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,19:20:00,"6,8"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,19:30:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,19:40:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,19:50:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,20:00:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,20:10:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,20:20:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,20:30:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,20:40:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,20:50:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,21:00:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,21:10:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,21:20:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,21:30:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,21:40:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,21:50:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,22:00:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,22:10:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,22:20:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,22:30:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,22:40:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,22:50:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,23:00:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,23:10:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,23:20:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,23:30:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,23:40:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,02-01-2019,23:50:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,00:00:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,00:10:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,00:20:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,00:30:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,00:40:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,00:50:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,01:00:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,01:10:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,01:20:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,01:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,01:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,01:50:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,02:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,02:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,02:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,02:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,02:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,02:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,03:00:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,03:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,03:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,03:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,03:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,03:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,04:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,04:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,04:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,04:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,04:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,04:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,05:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,05:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,05:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,05:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,05:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,05:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,06:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,06:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,06:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,06:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,06:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,06:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,07:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,07:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,07:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,07:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,07:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,07:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,08:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,08:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,08:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,08:30:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,08:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,08:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,09:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,09:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,09:20:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,09:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,09:40:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,09:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,10:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,10:10:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,10:20:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,10:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,10:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,10:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,11:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,11:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,11:20:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,11:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,11:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,11:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,12:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,12:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,12:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,12:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,12:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,12:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,13:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,13:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,13:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,13:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,13:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,13:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,14:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,14:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,14:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,14:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,14:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,14:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,15:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,15:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,15:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,15:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,15:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,15:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,16:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,16:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,16:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,16:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,16:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,16:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,17:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,17:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,17:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,17:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,17:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,17:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,18:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,18:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,18:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,18:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,18:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,18:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,19:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,19:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,19:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,19:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,19:40:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,19:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,20:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,20:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,20:20:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,20:30:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,20:40:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,20:50:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,21:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,21:10:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,21:20:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,21:30:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,21:40:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,21:50:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,22:00:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,22:10:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,22:20:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,22:30:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,22:40:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,22:50:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,23:00:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,23:10:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,23:20:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,23:30:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,23:40:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,23:50:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,00:00:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,00:10:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,00:20:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,00:30:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,00:40:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,00:50:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,01:00:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,01:10:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,01:20:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,01:30:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,01:40:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,01:50:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,02:00:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,02:10:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,02:20:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,02:30:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,02:40:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,02:50:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,03:00:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,03:10:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,03:20:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,03:30:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,03:40:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,03:50:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,04:00:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,04:10:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,04:20:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,04:30:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,04:40:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,04:50:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,05:00:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,05:10:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,05:20:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,05:30:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,05:40:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,05:50:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,06:00:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,06:10:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,06:20:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,06:30:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,06:40:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,06:50:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,07:00:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,07:10:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,07:20:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,07:30:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,07:40:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,07:50:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,08:00:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,08:10:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,08:20:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,08:30:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,08:40:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,08:50:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,09:00:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,09:10:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,09:20:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,09:30:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,09:40:00,"6,5"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,09:50:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,10:00:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,10:10:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,10:20:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,10:30:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,10:40:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,10:50:00,"6,4"
Driel boven,DRIELBVN,Temperatuur,04-01-2019,11:00:00,"6,4"
